time,seconds_elapsed,z,y,x
1760107122521834800,0.059834716796875,-1.026885986328125,-0.3560028076171875,-0.0589599609375
1760107122531901000,0.06990087890625,-0.9956512451171875,-0.346588134765625,-0.04156494140625
1760107122541966000,0.079966064453125,-0.9494171142578125,-0.3404083251953125,-0.003173828125
1760107122552031700,0.09003173828125,-0.9146270751953125,-0.336517333984375,0.0341796875
1760107122562097700,0.10009765625,-0.90167236328125,-0.3335723876953125,0.0535430908203125
1760107122572162800,0.110162841796875,-0.906158447265625,-0.332794189453125,0.054168701171875
1760107122582229000,0.12022900390625,-0.923370361328125,-0.333953857421875,0.041656494140625
1760107122592295000,0.130294921875,-0.9484100341796875,-0.3352508544921875,0.020599365234375
1760107122602361000,0.140361083984375,-0.97235107421875,-0.3361968994140625,0.0016326904296875
1760107122612425700,0.15042578125,-0.981536865234375,-0.3348388671875,-0.003997802734375
1760107122622492000,0.160491943359375,-0.975982666015625,-0.331268310546875,0.0042877197265625
1760107122632557800,0.170557861328125,-0.9643402099609375,-0.3321075439453125,0.0172882080078125
1760107122642623000,0.180623046875,-0.9539947509765625,-0.330047607421875,0.0315399169921875
1760107122652688600,0.190688720703125,-0.9478759765625,-0.3296966552734375,0.03216552734375
1760107122662754800,0.2007548828125,-0.9445648193359375,-0.3325347900390625,0.0265655517578125
1760107122672820000,0.210820068359375,-0.947784423828125,-0.337005615234375,0.026214599609375
1760107122682886000,0.220885986328125,-0.9576873779296875,-0.338592529296875,0.0240478515625
1760107122692951800,0.230951904296875,-0.9649810791015625,-0.3385772705078125,0.0207977294921875
1760107122703016700,0.2410166015625,-0.9671173095703125,-0.335205078125,0.0183258056640625
1760107122713083000,0.251082763671875,-0.960784912109375,-0.33306884765625,0.016448974609375
1760107122723148800,0.261148681640625,-0.945709228515625,-0.3352203369140625,0.019012451171875
1760107122733215000,0.271215087890625,-0.93328857421875,-0.3401031494140625,0.0247955322265625
1760107122743279900,0.28127978515625,-0.926361083984375,-0.34356689453125,0.025665283203125
1760107122753346000,0.291345947265625,-0.9255828857421875,-0.3458709716796875,0.0212249755859375
1760107122763411700,0.30141162109375,-0.9350128173828125,-0.3449554443359375,0.0152435302734375
1760107122773476900,0.311476806640625,-0.94940185546875,-0.3396453857421875,0.0134124755859375
1760107122783542800,0.321542724609375,-0.9566497802734375,-0.3354644775390625,0.0147247314453125
1760107122793609000,0.33160888671875,-0.953887939453125,-0.335205078125,0.0150909423828125
1760107122803673900,0.341673828125,-0.9463043212890625,-0.335968017578125,0.020355224609375
1760107122813739800,0.35173974609375,-0.9354705810546875,-0.3367462158203125,0.02508544921875
1760107122823805700,0.3618056640625,-0.93798828125,-0.33551025390625,0.0241241455078125
1760107122833870800,0.371870849609375,-0.951995849609375,-0.3365325927734375,0.02630615234375
1760107122843937000,0.38193701171875,-0.96624755859375,-0.3344573974609375,0.0251312255859375
1760107122854003000,0.3920029296875,-0.9736480712890625,-0.3321685791015625,0.018585205078125
1760107122864068900,0.40206884765625,-0.9735107421875,-0.33306884765625,0.0137176513671875
1760107122874133800,0.4121337890625,-0.9648895263671875,-0.337066650390625,0.0133056640625
1760107122884200000,0.422199951171875,-0.9547119140625,-0.3399658203125,0.0117034912109375
1760107122894265900,0.432265869140625,-0.9459075927734375,-0.3390655517578125,0.01043701171875
1760107122904331000,0.4423310546875,-0.939300537109375,-0.338653564453125,0.017669677734375
1760107122914396700,0.452396728515625,-0.9438018798828125,-0.341644287109375,0.0244293212890625
1760107122924462800,0.462462890625,-0.9544219970703125,-0.3399505615234375,0.02679443359375
1760107122934528000,0.472528076171875,-0.9579620361328125,-0.3325042724609375,0.0256195068359375
1760107122944594000,0.482593994140625,-0.9553680419921875,-0.3306884765625,0.0216064453125
1760107122954659800,0.492659912109375,-0.946044921875,-0.334747314453125,0.0187530517578125
1760107122964726000,0.50272607421875,-0.9351959228515625,-0.3395843505859375,0.016387939453125
1760107122974791000,0.512791015625,-0.9317626953125,-0.344573974609375,0.010528564453125
1760107122984856800,0.52285693359375,-0.93707275390625,-0.343719482421875,0.007537841796875
1760107122994922800,0.5329228515625,-0.944671630859375,-0.3419647216796875,0.0054931640625
1760107123004988000,0.54298779296875,-0.9532470703125,-0.3389434814453125,0.0088043212890625
1760107123015053800,0.5530537109375,-0.9579620361328125,-0.337677001953125,0.01416015625
1760107123025119700,0.56311962890625,-0.960357666015625,-0.3369293212890625,0.0214996337890625
1760107123035185000,0.573184814453125,-0.96075439453125,-0.3358612060546875,0.0250701904296875
1760107123045250800,0.583250732421875,-0.958404541015625,-0.33551025390625,0.0224456787109375
1760107123055317000,0.59331689453125,-0.9534912109375,-0.333587646484375,0.01959228515625
1760107123065382000,0.6033818359375,-0.945526123046875,-0.3344268798828125,0.01861572265625
1760107123075447800,0.61344775390625,-0.93603515625,-0.3365020751953125,0.0219268798828125
1760107123085513700,0.623513671875,-0.9263916015625,-0.3335418701171875,0.03125
1760107123095580000,0.633579833984375,-0.916748046875,-0.329132080078125,0.03265380859375
1760107123105645000,0.64364501953125,-0.930206298828125,-0.3342437744140625,0.0176239013671875
1760107123115711000,0.6537109375,-0.949554443359375,-0.338348388671875,0.0070648193359375
1760107123125776600,0.663776611328125,-0.9619598388671875,-0.3359832763671875,0.0031890869140625
1760107123135841800,0.673841796875,-0.9654693603515625,-0.3331146240234375,0.009521484375
1760107123145908000,0.683907958984375,-0.9646759033203125,-0.3318328857421875,0.0203094482421875
1760107123155973600,0.6939736328125,-0.9602203369140625,-0.3319244384765625,0.026763916015625
1760107123166038800,0.704038818359375,-0.9513397216796875,-0.332977294921875,0.0239410400390625
1760107123176104700,0.714104736328125,-0.9423065185546875,-0.33343505859375,0.0143280029296875
1760107123186171000,0.7241708984375,-0.93975830078125,-0.337127685546875,0.009185791015625
1760107123196235800,0.73423583984375,-0.94757080078125,-0.3412322998046875,0.0104827880859375
1760107123206301700,0.7443017578125,-0.9582977294921875,-0.3368377685546875,0.0147705078125
1760107123216367600,0.75436767578125,-0.9765777587890625,-0.331817626953125,0.0229339599609375
1760107123226433800,0.764433837890625,-0.9914703369140625,-0.3317108154296875,0.0199127197265625
1760107123236499000,0.7744990234375,-0.984649658203125,-0.32830810546875,0.0146636962890625
1760107123246564600,0.784564697265625,-0.9680023193359375,-0.32916259765625,0.010955810546875
1760107123256630800,0.794630859375,-0.9465789794921875,-0.337371826171875,0.009613037109375
1760107123266695700,0.80469580078125,-0.924224853515625,-0.343780517578125,0.009521484375
1760107123276761900,0.814761962890625,-0.9119873046875,-0.3466644287109375,0.0074615478515625
1760107123286827800,0.824827880859375,-0.917694091796875,-0.3482513427734375,0.0091705322265625
1760107123296892700,0.834892578125,-0.93701171875,-0.346038818359375,0.012451171875
1760107123306958600,0.84495849609375,-0.9610595703125,-0.3372344970703125,0.0146026611328125
1760107123317024800,0.855024658203125,-0.9786529541015625,-0.327056884765625,0.0140533447265625
1760107123327089700,0.865089599609375,-0.9797821044921875,-0.3212890625,0.014984130859375
1760107123337155800,0.87515576171875,-0.971099853515625,-0.320953369140625,0.017333984375
1760107123347221500,0.885221435546875,-0.9564971923828125,-0.3233184814453125,0.0210723876953125
1760107123357286700,0.89528662109375,-0.945831298828125,-0.328582763671875,0.022491455078125
1760107123367352800,0.905352783203125,-0.9433746337890625,-0.331817626953125,0.02056884765625
1760107123377418800,0.915418701171875,-0.94677734375,-0.335723876953125,0.0161895751953125
1760107123387484700,0.925484619140625,-0.9514007568359375,-0.3348388671875,0.01446533203125
1760107123397549600,0.935549560546875,-0.954864501953125,-0.333160400390625,0.010894775390625
1760107123407615700,0.94561572265625,-0.956756591796875,-0.332061767578125,0.0067138671875
1760107123417681700,0.955681640625,-0.9573974609375,-0.3350067138671875,0.003143310546875
1760107123427746800,0.965746826171875,-0.9547882080078125,-0.3399200439453125,0.00274658203125
1760107123437812700,0.975812744140625,-0.9508514404296875,-0.340240478515625,0.005645751953125
1760107123447879000,0.98587890625,-0.94281005859375,-0.33880615234375,0.009307861328125
1760107123457943600,0.995943603515625,-0.9384918212890625,-0.3408050537109375,0.015380859375
1760107123468009700,1.006009765625,-0.94268798828125,-0.3423614501953125,0.0222930908203125
1760107123478075600,1.01607568359375,-0.9545135498046875,-0.3376922607421875,0.0249176025390625
1760107123488140800,1.026140869140625,-0.96337890625,-0.330108642578125,0.02459716796875
1760107123498206700,1.036206787109375,-0.9673614501953125,-0.325042724609375,0.023193359375
1760107123508272600,1.046272705078125,-0.96417236328125,-0.3270111083984375,0.021331787109375
1760107123518337800,1.056337890625,-0.9561004638671875,-0.333587646484375,0.01373291015625
1760107123528403700,1.06640380859375,-0.9479522705078125,-0.3403778076171875,0.0064697265625
1760107123538470000,1.076469970703125,-0.9456329345703125,-0.341949462890625,0.003326416015625
1760107123548535800,1.086535888671875,-0.949462890625,-0.343902587890625,0.007843017578125
1760107123558600700,1.0966005859375,-0.9552459716796875,-0.3408660888671875,0.01776123046875
1760107123568666600,1.10666650390625,-0.9604034423828125,-0.334136962890625,0.0247802734375
1760107123578732800,1.11673291015625,-0.9601898193359375,-0.3277130126953125,0.027008056640625
1760107123588797700,1.126797607421875,-0.95245361328125,-0.327362060546875,0.025238037109375
1760107123598864000,1.13686376953125,-0.940826416015625,-0.33392333984375,0.0245208740234375
1760107123608929500,1.146929443359375,-0.93585205078125,-0.3388671875,0.0226593017578125
1760107123618994700,1.15699462890625,-0.93902587890625,-0.339569091796875,0.02099609375
1760107123629060900,1.167060791015625,-0.9491729736328125,-0.3342742919921875,0.0253448486328125
1760107123639126800,1.177126708984375,-0.96051025390625,-0.326995849609375,0.02862548828125
1760107123649191700,1.187191650390625,-0.9674530029296875,-0.3260345458984375,0.029693603515625
1760107123659257600,1.197257568359375,-0.967254638671875,-0.328216552734375,0.0296783447265625
1760107123669323800,1.20732373046875,-0.959503173828125,-0.330596923828125,0.0226898193359375
1760107123679389700,1.2173896484375,-0.945709228515625,-0.336456298828125,0.018585205078125
1760107123689454800,1.227454833984375,-0.9383392333984375,-0.34027099609375,0.0221405029296875
1760107123699520800,1.237520751953125,-0.9400634765625,-0.3364105224609375,0.0257720947265625
1760107123709586700,1.247586669921875,-0.94500732421875,-0.329010009765625,0.024688720703125
1760107123719651600,1.257651611328125,-0.952178955078125,-0.3265380859375,0.01837158203125
1760107123729717800,1.2677177734375,-0.9553070068359375,-0.3310546875,0.0130615234375
1760107123739783700,1.27778369140625,-0.9542388916015625,-0.3381805419921875,0.006683349609375
1760107123749848800,1.287848876953125,-0.94586181640625,-0.344268798828125,0.0035400390625
1760107123759914800,1.297914794921875,-0.9396820068359375,-0.347381591796875,0.0027008056640625
1760107123769980700,1.307980712890625,-0.9384765625,-0.3492584228515625,0.008819580078125
1760107123780045800,1.3180458984375,-0.9414215087890625,-0.3459930419921875,0.0167236328125
1760107123790111700,1.32811181640625,-0.94537353515625,-0.3413848876953125,0.0219879150390625
1760107123800178000,1.338177978515625,-0.94818115234375,-0.3371429443359375,0.0236053466796875
1760107123810242600,1.34824267578125,-0.9502410888671875,-0.337066650390625,0.021026611328125
1760107123820308700,1.358308837890625,-0.945556640625,-0.33624267578125,0.0167388916015625
1760107123830374700,1.368374755859375,-0.9418182373046875,-0.3374481201171875,0.018524169921875
1760107123840439800,1.378439697265625,-0.9387664794921875,-0.3361663818359375,0.02117919921875
1760107123850505700,1.388505615234375,-0.9406890869140625,-0.333160400390625,0.0239410400390625
1760107123860571600,1.398571533203125,-0.94757080078125,-0.3317108154296875,0.01995849609375
1760107123870636800,1.40863671875,-0.96270751953125,-0.332183837890625,0.0172271728515625
1760107123880702700,1.41870263671875,-0.979217529296875,-0.3342437744140625,0.015106201171875
1760107123890768600,1.4287685546875,-0.9871826171875,-0.3348846435546875,0.013214111328125
1760107123900834800,1.438834716796875,-0.9853668212890625,-0.3352508544921875,0.0118255615234375
1760107123910899700,1.448899658203125,-0.980926513671875,-0.33331298828125,0.0111846923828125
1760107123920965600,1.458965576171875,-0.9684600830078125,-0.3306732177734375,0.012451171875
1760107123931031800,1.46903173828125,-0.9468536376953125,-0.3294830322265625,0.0147857666015625
1760107123941096700,1.4790966796875,-0.92401123046875,-0.3287353515625,0.014556884765625
1760107123951163000,1.489162841796875,-0.9089813232421875,-0.336883544921875,0.0173492431640625
1760107123961228800,1.499228759765625,-0.9080810546875,-0.3426666259765625,0.0258026123046875
1760107123971293700,1.509293701171875,-0.915191650390625,-0.34283447265625,0.0318756103515625
