Activity,Mag_Mean,Mag_Std,Mag_Max,Mag_Min,Mag_Range,X_Mean,X_Std,Y_Mean,Y_Std,Z_Mean,Z_Std,XY_Corr,XZ_Corr,YZ_Corr,X_ZCR,Y_ZCR,Z_ZCR,Mag_Peaks,X_Energy,Y_Energy,Z_Energy,Total_Energy,Dominant_Freq,Dominant_Power,Spectral_Energy
Sitting_Hand,0.16676770913248687,0.0943853802916611,0.5779523369792977,0.007214759744210463,0.5707375772350872,0.04169777854606537,0.07072989889812963,0.006251851743314554,0.05000444661538618,-0.09237715352752376,0.13755662700211035,0.5146090037978177,-0.013994769518208992,-0.3792239021634867,0.0,0.0,0.0,127,0.006736782593001746,0.0025372108095635705,0.02743781141210089,0.0367118048146662,1.105912100568443,0.024215026846677513,0.017800357755740546
Standing_Hand,0.23051212244294686,0.12909882571977377,0.7825226706285396,0.013265504631950257,0.7692571659965893,0.07157035848205444,0.12176466566907143,0.030897125759904418,0.09024925397227486,-0.09855132116390006,0.17627420218686057,0.5168752603010394,0.03939504911157517,-0.10842941629421067,0.0,0.0,0.0,129,0.019936604778279667,0.009092778434397042,0.04075908499135753,0.06978846820403425,0.16543806612255063,0.05222821624891269,0.03330514271592316
Walking_Hand_1,1.0215751501145662,0.44706730224923863,2.663484421635452,0.055202259777638804,2.608282161857813,0.030379034106261076,0.38650191300095554,-0.05383228235068445,0.5043146613970786,-0.07516672082819757,0.9114740378005235,0.36359377021580597,-0.0859454828091217,-0.12958260729571605,0.0,0.0,0.0,166,0.15023618366570665,0.2571112803581644,0.8360432625862158,1.2433907266100868,1.4989134208486348,0.18067797999568502,0.3995491884659484
Walking_Hand_2,0.9856334902235834,0.4465424176903098,3.1939125756359306,0.014491358826005994,3.1794212168099247,0.047399491142583086,0.352141553785199,-0.029747691970759247,0.530259658593409,-0.07789253497188678,0.8700292154926933,0.28693035070450085,0.026050663111677978,-0.04203538881724074,0.0,0.0,0.0,154,0.12619175508415284,0.2819272873023151,0.7626601864389082,1.170779228825376,1.5032070294307003,0.21443183998664062,0.3986115769517434
